cons,semest,codigo,nombre,area,sem,ht,hp,htp,hti,cr,preyco,HVC,fal,bas,prof,compl
1,1,303117,Fundamentos de Matemáticas,Matemáticas,16,4,0,0,5,3,__,H,13,Si,__,__
2,1,303118,Matemáticas Básicas,Matemáticas,16,6,0,0,6,4,__,HVC,19,Si,__,__
3,1,305115,Fundamentación en Ciencias,Ciencias,16,6,0,0,6,4,__,__,19,Si,__,__
4,1,311150,Fundamentación en Astronomía,Astronomía,16,4,0,0,5,3,__,HV,13,Si,__,__
5,1,302150,Fundamentación en Computación,Computación,16,0,0,4,2,2,__,HV,13,Si,__,__
6,1,305120,Cátedra Universitaria I,Socio Humanística,16,4,0,0,2,2,__,__,13,__,__,Si
7,2,303157,Cálculo I,Matemáticas,16,6,0,0,9,5,(PR) 0303118,HV,99,Si,__,__
8,2,303208,Algebra Lineal,Matemáticas,16,6,0,0,9,5,"(PR) 0303118 
(PR) 0302150  
(PR) 0303117",HV,99,Si,__,__
9,2,302270,Física Básica I ,Física,16,8,0,0,4,4,"(PR) 0303118 
(CO) 0303157",HV,99,Si,__,__
10,2,302271,Física Experimental I,Fïsica,16,0,4,0,2,2,"(CO) 0302270 
(PR) 0302150",__,13,Si,__,__
11,2,311302,Astronomía Práctica I,Astronomía,16,0,4,0,2,2,"(PR) 0311150 
(PR) 0302150  ",__,13,Si,__,__
12,3,303207,Cálculo II,Matemáticas,16,6,0,0,9,5,(PR) 0303157,HV,99,Si,__,__
13,3,302390,Métodos Computacionales,Computación,16,0,0,6,3,3,"(PR) 0303208 
(PR) 0302150",HV,19,Si,__,__
14,3,302391,Física Básica II ,Física,16,8,0,0,4,4,"(PR) 0303157 
(PR) 0302270",HV,99,Si,__,__
15,3,302392,Física Experimental II,Física,16,0,4,0,2,2,"(CO) 0302391 
(PR) 0302271",__,13,Si,__,__
16,3,311411,Astronomía de Posición,Astronomía,16,4,0,0,5,3,(PR) 0311302,HV,1,Si,__,__
17,3,305121,Cátedra Universitaria II,Socio Humanística,16,2,0,0,1,1,(PR) 0305120,__,6,__,__,Si
18,4,303267,Cálculo Avanzado,Matemáticas,16,4,0,0,8,4,(PR) 0303207,HV,99,Si,__,__
19,4,303257,Ecuaciones Diferenciales Ordinarias ,Matemáticas,16,4,0,0,8,4,(PR) 0303207 (PR) 0303208,HV,99,Si,__,__
